market,symbol,updated_at,feature_bar_time,current_state,recommended_state,action,raw_probability,probability_long,wave_overlay,signal_price,market_phase,position_since,position_since_exact,last_action_time
场内,159941.SZ,2026-03-30 19:55:33.163380,2026-03-30 15:00:00,0,1,买入,0.769374809964273,0.769374809964273,none,1.254,close,2026-03-30 15:00:00,1,2026-03-30 15:00:00
美股,QQQ,2026-03-30 19:55:29.563081,2026-03-27 16:00:00,0,0,空仓,0.375457823229594,0.2,us_bear_wave4_low,562.0794,close,,0,
