market,symbol,feature_bar_time,updated_at,current_state,raw_probability,probability_long,recommended_state,action,market_phase,wave_overlay,nqmain_close_value,signal_price,trade_date,position_since,position_since_exact,last_action_time,signal_summary,top_drivers,run_at
美股,QQQ,2026-03-27 16:00:00,2026-03-30 19:55:29.563081,0,0.375457823229594,0.2,0,空仓,close,us_bear_wave4_low,23468.5,562.0794,2026-03-27,,0,,DATA_TIME(2026-03-27 16:00:00) NQMAIN_CLOSE(23468.50) QQQ(562.08) -> 0%,nq_close:-2.068 | tod_sin:-1.164 | high:+1.018 | session_high_so_far:-0.995 | low:+0.961,2026-03-30 19:55:21.651405
场内,159941.SZ,2026-03-30 15:00:00,2026-03-30 19:55:33.163380,0,0.769374809964273,0.769374809964273,1,买入,close,none,23468.5,1.254,2026-03-30,2026-03-30 15:00:00,1,2026-03-30 15:00:00,DATA_TIME(2026-03-30 15:00:00) NQMAIN_CLOSE(23468.50) 159941.SZ(1.2540) -> 100% ENTRY_TIME(2026-03-30 15:00:00),bar_index:-1.492 | nq_volume_rel_10:-1.439 | nq_volume_rel_8:+1.415 | nq_volume_rel_13:+1.401 | tod_cos:+1.304,2026-03-30 19:55:21.651405
